,clean_text,clean_tokens,reviews.doRecommend,reviews.rating,sentiment
47,products always reliable consistent quality different happy,"['products', 'always', 'reliable', 'consistent', 'quality', 'different', 'happy']",True,5,1
48,working well cheap think price way,"['working', 'well', 'cheap', 'think', 'price', 'way']",True,4,1
49,battery n't last long advertised money would recommend backlit model,"['battery', ""n't"", 'last', 'long', 'advertised', 'money', 'would', 'recommend', 'backlit', 'model']",True,4,1
50,n't lighted screen like pricier models higher dpi screen lower model exactly needed nothing nothing less 've problems reader far 'll give 5 stars,"[""n't"", 'lighted', 'screen', 'like', 'pricier', 'models', 'higher', 'dpi', 'screen', 'lower', 'model', 'exactly', 'needed', 'nothing', 'nothing', 'less', ""'ve"", 'problems', 'reader', 'far', ""'ll"", 'give', '5', 'stars']",True,5,1
51,good download apps books catch reading,"['good', 'download', 'apps', 'books', 'catch', 'reading']",True,3,0
52,first one stopped working 3 weeks-best buy replaced fuss going great small lightweight fits purse/handbag anti-glare screen read direct sunlight,"['first', 'one', 'stopped', 'working', '3', 'weeks-best', 'buy', 'replaced', 'fuss', 'going', 'great', 'small', 'lightweight', 'fits', 'purse/handbag', 'anti-glare', 'screen', 'read', 'direct', 'sunlight']",True,4,1
53,bought paperwhite son use school instead expensive delicate display options make adaptable anyone much easier eyes reading extended period time please keep mind glowlight durable although bought case case really isnt necessary relatively careful surprising thing extra long battery life son avid reader noticed needs charge considerably less uses,"['bought', 'paperwhite', 'son', 'use', 'school', 'instead', 'expensive', 'delicate', 'display', 'options', 'make', 'adaptable', 'anyone', 'much', 'easier', 'eyes', 'reading', 'extended', 'period', 'time', 'please', 'keep', 'mind', 'glowlight', 'durable', 'although', 'bought', 'case', 'case', 'really', 'isnt', 'necessary', 'relatively', 'careful', 'surprising', 'thing', 'extra', 'long', 'battery', 'life', 'son', 'avid', 'reader', 'noticed', 'needs', 'charge', 'considerably', 'less', 'uses']",True,5,1
54,great item easy use would recommend anybody want use,"['great', 'item', 'easy', 'use', 'would', 'recommend', 'anybody', 'want', 'use']",True,5,1
55,bought gift dad loves well worth dont plan reading dark,"['bought', 'gift', 'dad', 'loves', 'well', 'worth', 'dont', 'plan', 'reading', 'dark']",True,5,1
56,future reading like whole library,"['future', 'reading', 'like', 'whole', 'library']",True,5,1
57,bought daughter wanting get without access games like latest version excellent jealous daughter thinking upgrading older touchscreen responsive like reading worth update,"['bought', 'daughter', 'wanting', 'get', 'without', 'access', 'games', 'like', 'latest', 'version', 'excellent', 'jealous', 'daughter', 'thinking', 'upgrading', 'older', 'touchscreen', 'responsive', 'like', 'reading', 'worth', 'update']",True,5,1
58,great way read books go backlight reading darker rooms may hard affordable portable great way take books,"['great', 'way', 'read', 'books', 'go', 'backlight', 'reading', 'darker', 'rooms', 'may', 'hard', 'affordable', 'portable', 'great', 'way', 'take', 'books']",True,5,1
59,love great product reduces eye strain enjoy reading second,"['love', 'great', 'product', 'reduces', 'eye', 'strain', 'enjoy', 'reading', 'second']",True,5,1
60,bought backup currently using headphone,"['bought', 'backup', 'currently', 'using', 'headphone']",True,4,1
61,got daughter accompanied us try two models willing buy either one assumed would want expensive one backlighting feature tried gravitated certainty toward basic model `` would u want read dark '' said weeks months gone says completely happy basic exactly wanted perfect,"['got', 'daughter', 'accompanied', 'us', 'try', 'two', 'models', 'willing', 'buy', 'either', 'one', 'assumed', 'would', 'want', 'expensive', 'one', 'backlighting', 'feature', 'tried', 'gravitated', 'certainty', 'toward', 'basic', 'model', '``', 'would', 'u', 'want', 'read', 'dark', ""''"", 'said', 'weeks', 'months', 'gone', 'says', 'completely', 'happy', 'basic', 'exactly', 'wanted', 'perfect']",True,5,1
62,good able read bright sunlight conditions,"['good', 'able', 'read', 'bright', 'sunlight', 'conditions']",True,4,1
63,easy handle many books choose convenient,"['easy', 'handle', 'many', 'books', 'choose', 'convenient']",True,5,1
64,purchased product love read buying books got costly product read want 10.00 month,"['purchased', 'product', 'love', 'read', 'buying', 'books', 'got', 'costly', 'product', 'read', 'want', '10.00', 'month']",True,5,1
65,smaller thought gets job done,"['smaller', 'thought', 'gets', 'job', 'done']",True,5,1
66,love new n't read hesitant easy use lightweight convenient pick book great outdoor reading downside want read dark back light crisp clear text easy set,"['love', 'new', ""n't"", 'read', 'hesitant', 'easy', 'use', 'lightweight', 'convenient', 'pick', 'book', 'great', 'outdoor', 'reading', 'downside', 'want', 'read', 'dark', 'back', 'light', 'crisp', 'clear', 'text', 'easy', 'set']",True,5,1
67,product good light amazing battery backup charge one 4 weeks great product reasonable price usb connection easy books easy download overall everyone must best product/model start with.understandably beginner level model people never used features like led lights white paper background available model features higher models one read dark without lights price would get good readers.if someone reads dark would suggest go higher models,"['product', 'good', 'light', 'amazing', 'battery', 'backup', 'charge', 'one', '4', 'weeks', 'great', 'product', 'reasonable', 'price', 'usb', 'connection', 'easy', 'books', 'easy', 'download', 'overall', 'everyone', 'must', 'best', 'product/model', 'start', 'with.understandably', 'beginner', 'level', 'model', 'people', 'never', 'used', 'features', 'like', 'led', 'lights', 'white', 'paper', 'background', 'available', 'model', 'features', 'higher', 'models', 'one', 'read', 'dark', 'without', 'lights', 'price', 'would', 'get', 'good', 'readers.if', 'someone', 'reads', 'dark', 'would', 'suggest', 'go', 'higher', 'models']",True,5,1
68,perfect e-reader easy use size perfect bring 'book go,"['perfect', 'e-reader', 'easy', 'use', 'size', 'perfect', 'bring', ""'book"", 'go']",True,5,1
69,easy use arrived exactly described good beginner device youngsters want device read,"['easy', 'use', 'arrived', 'exactly', 'described', 'good', 'beginner', 'device', 'youngsters', 'want', 'device', 'read']",True,4,1
70,looking picture seeing 8th generation assumed would great device original stopped using n't backlit thought 8th generation would backlit picture makes look backlit 25 minutes phone trying make brighter technician finally realized 8th generation supported backlights took back target purchased paperwhite money definitely worth 8th generation one smaller assumed reason price difference target made experience pleasant,"['looking', 'picture', 'seeing', '8th', 'generation', 'assumed', 'would', 'great', 'device', 'original', 'stopped', 'using', ""n't"", 'backlit', 'thought', '8th', 'generation', 'would', 'backlit', 'picture', 'makes', 'look', 'backlit', '25', 'minutes', 'phone', 'trying', 'make', 'brighter', 'technician', 'finally', 'realized', '8th', 'generation', 'supported', 'backlights', 'took', 'back', 'target', 'purchased', 'paperwhite', 'money', 'definitely', 'worth', '8th', 'generation', 'one', 'smaller', 'assumed', 'reason', 'price', 'difference', 'target', 'made', 'experience', 'pleasant']",False,1,0
71,fiance really enjoyes would definitely recommend,"['fiance', 'really', 'enjoyes', 'would', 'definitely', 'recommend']",True,4,1
72,black good fit times read night bed husband sleeping model n't back light 'm unable read night without turning light waking husband.so returned went,"['black', 'good', 'fit', 'times', 'read', 'night', 'bed', 'husband', 'sleeping', 'model', ""n't"", 'back', 'light', ""'m"", 'unable', 'read', 'night', 'without', 'turning', 'light', 'waking', 'husband.so', 'returned', 'went']",False,3,0
73,still best device buying books reading however go paperwhite read books dark places,"['still', 'best', 'device', 'buying', 'books', 'reading', 'however', 'go', 'paperwhite', 'read', 'books', 'dark', 'places']",True,5,1
74,great product service sales man r really nice,"['great', 'product', 'service', 'sales', 'man', 'r', 'really', 'nice']",True,5,1
75,first turn home screen make easy determine exactly open read downloaded book,"['first', 'turn', 'home', 'screen', 'make', 'easy', 'determine', 'exactly', 'open', 'read', 'downloaded', 'book']",True,4,1
76,wife loves replaces like 2003,"['wife', 'loves', 'replaces', 'like', '2003']",True,5,1
77,small light easy read wish would spent extra 30 bucks got paperwhite use one wish option backlight 're fence go paperwhite however backlight issue device great would recommend,"['small', 'light', 'easy', 'read', 'wish', 'would', 'spent', 'extra', '30', 'bucks', 'got', 'paperwhite', 'use', 'one', 'wish', 'option', 'backlight', ""'re"", 'fence', 'go', 'paperwhite', 'however', 'backlight', 'issue', 'device', 'great', 'would', 'recommend']",False,4,1
78,device good entry level reader daylight.its doesnot support reading dark read dark purchase light cover case light attached either case put lot strain eyes,"['device', 'good', 'entry', 'level', 'reader', 'daylight.its', 'doesnot', 'support', 'reading', 'dark', 'read', 'dark', 'purchase', 'light', 'cover', 'case', 'light', 'attached', 'either', 'case', 'put', 'lot', 'strain', 'eyes']",False,3,0
79,love new size perfect fits right purse easy navigate love touch screen able read outside without glare flaw backlit order read dark need book light n't mind much wish would come case built book light like first generation,"['love', 'new', 'size', 'perfect', 'fits', 'right', 'purse', 'easy', 'navigate', 'love', 'touch', 'screen', 'able', 'read', 'outside', 'without', 'glare', 'flaw', 'backlit', 'order', 'read', 'dark', 'need', 'book', 'light', ""n't"", 'mind', 'much', 'wish', 'would', 'come', 'case', 'built', 'book', 'light', 'like', 'first', 'generation']",True,4,1
80,would load books proper took dozen tries erasing dreregistering screen dark,"['would', 'load', 'books', 'proper', 'took', 'dozen', 'tries', 'erasing', 'dreregistering', 'screen', 'dark']",False,2,0
81,bought daughter 4th bought within family touchscreen great daughter loves fact us older model kindles jealous,"['bought', 'daughter', '4th', 'bought', 'within', 'family', 'touchscreen', 'great', 'daughter', 'loves', 'fact', 'us', 'older', 'model', 'kindles', 'jealous']",True,5,1
82,pretty cool little device im able download books wireless read later convenience drawback wish storage price works good,"['pretty', 'cool', 'little', 'device', 'im', 'able', 'download', 'books', 'wireless', 'read', 'later', 'convenience', 'drawback', 'wish', 'storage', 'price', 'works', 'good']",True,3,0
83,exactly looking size wise functional,"['exactly', 'looking', 'size', 'wise', 'functional']",True,5,1
84,always great job easy use always problem button bottom touchy really issue keep good work,"['always', 'great', 'job', 'easy', 'use', 'always', 'problem', 'button', 'bottom', 'touchy', 'really', 'issue', 'keep', 'good', 'work']",True,4,1
85,especially like system convert pdf format things read journal articles pdf format email email shows format larger text find kindel email account information thing would like screen little larger,"['especially', 'like', 'system', 'convert', 'pdf', 'format', 'things', 'read', 'journal', 'articles', 'pdf', 'format', 'email', 'email', 'shows', 'format', 'larger', 'text', 'find', 'kindel', 'email', 'account', 'information', 'thing', 'would', 'like', 'screen', 'little', 'larger']",True,4,1
86,im happy comfortable easy use every,"['im', 'happy', 'comfortable', 'easy', 'use', 'every']",True,5,1
87,eighth others either lost screen-damaged bought spare current model better looking earlier versions white case sturdier improved screen great price also wish 'd bought two,"['eighth', 'others', 'either', 'lost', 'screen-damaged', 'bought', 'spare', 'current', 'model', 'better', 'looking', 'earlier', 'versions', 'white', 'case', 'sturdier', 'improved', 'screen', 'great', 'price', 'also', 'wish', ""'d"", 'bought', 'two']",True,4,1
88,nephew going college next year want give gift suits well learn study,"['nephew', 'going', 'college', 'next', 'year', 'want', 'give', 'gift', 'suits', 'well', 'learn', 'study']",True,5,1
89,excellent lightweight way take lot reading materials along traveling,"['excellent', 'lightweight', 'way', 'take', 'lot', 'reading', 'materials', 'along', 'traveling']",True,5,1
90,love 'm back reading much often always several books times first surprised version n't back light need light read actually like n't get eye strain like using phone,"['love', ""'m"", 'back', 'reading', 'much', 'often', 'always', 'several', 'books', 'times', 'first', 'surprised', 'version', ""n't"", 'back', 'light', 'need', 'light', 'read', 'actually', 'like', ""n't"", 'get', 'eye', 'strain', 'like', 'using', 'phone']",True,4,1
91,love real books great travel keeping bookshelves lighter wish could buy larger storage without buy larger size pad also sucks 4gig 1gig taken os advertising seriously reads pdfs needs 1 gig os lame last thing would change able reverse lettering night could white lettering black background less bright eyes,"['love', 'real', 'books', 'great', 'travel', 'keeping', 'bookshelves', 'lighter', 'wish', 'could', 'buy', 'larger', 'storage', 'without', 'buy', 'larger', 'size', 'pad', 'also', 'sucks', '4gig', '1gig', 'taken', 'os', 'advertising', 'seriously', 'reads', 'pdfs', 'needs', '1', 'gig', 'os', 'lame', 'last', 'thing', 'would', 'change', 'able', 'reverse', 'lettering', 'night', 'could', 'white', 'lettering', 'black', 'background', 'less', 'bright', 'eyes']",True,3,0
92,perfect gift young adult holiday session,"['perfect', 'gift', 'young', 'adult', 'holiday', 'session']",True,5,1
93,screen dark adjust brightness,"['screen', 'dark', 'adjust', 'brightness']",False,2,0
94,purchased sooner easy use love,"['purchased', 'sooner', 'easy', 'use', 'love']",True,5,1
95,purchased gift 've absolutely loved,"['purchased', 'gift', ""'ve"", 'absolutely', 'loved']",True,5,1
96,great gift anyone easy setup coexist iot devices awesome,"['great', 'gift', 'anyone', 'easy', 'setup', 'coexist', 'iot', 'devices', 'awesome']",True,5,1
97,super excited give gift super convenient best buy products store instead purchase,"['super', 'excited', 'give', 'gift', 'super', 'convenient', 'best', 'buy', 'products', 'store', 'instead', 'purchase']",True,5,1
98,bought mother law buying another,"['bought', 'mother', 'law', 'buying', 'another']",True,5,1
99,well designed good sound everything plus hd video always ready answers associated video text applicable show movie trailers also watch video excellent on-demand security video compatible cameras voice activated message and/or video calls show owners app holders highly recommended,"['well', 'designed', 'good', 'sound', 'everything', 'plus', 'hd', 'video', 'always', 'ready', 'answers', 'associated', 'video', 'text', 'applicable', 'show', 'movie', 'trailers', 'also', 'watch', 'video', 'excellent', 'on-demand', 'security', 'video', 'compatible', 'cameras', 'voice', 'activated', 'message', 'and/or', 'video', 'calls', 'show', 'owners', 'app', 'holders', 'highly', 'recommended']",True,5,1
100,one three dots show awesome,"['one', 'three', 'dots', 'show', 'awesome']",True,5,1
101,omg love show sooo cool lot cool stuff,"['omg', 'love', 'show', 'sooo', 'cool', 'lot', 'cool', 'stuff']",True,5,1
102,great looking design show easy set use,"['great', 'looking', 'design', 'show', 'easy', 'set', 'use']",True,5,1
103,product entertaining useful would recommend anyone,"['product', 'entertaining', 'useful', 'would', 'recommend', 'anyone']",True,5,1
104,got weeks kind fades away life,"['got', 'weeks', 'kind', 'fades', 'away', 'life']",True,4,1
105,device awesome ⊘ really lets get excited smart home technology ⊘ i⊙m buying second one upstairs,"['device', 'awesome', '⊘', 'really', 'lets', 'get', 'excited', 'smart', 'home', 'technology', '⊘', 'i⊙m', 'buying', 'second', 'one', 'upstairs']",True,4,1
106,purchased daughter tell happy hugged box back box,"['purchased', 'daughter', 'tell', 'happy', 'hugged', 'box', 'back', 'box']",True,5,1
107,overall product excellent speakers capability used bluetooth speakers like,"['overall', 'product', 'excellent', 'speakers', 'capability', 'used', 'bluetooth', 'speakers', 'like']",True,4,1
108,spot dot two shows started spot loved much wanted bigger one best buy pun intended lol,"['spot', 'dot', 'two', 'shows', 'started', 'spot', 'loved', 'much', 'wanted', 'bigger', 'one', 'best', 'buy', 'pun', 'intended', 'lol']",True,5,1
109,little hesitant spend money get glad always answers say commands noticed probably 95 right command given love fact see things screen news briefings picture/video nice also love video call option planning getting one grandma technologically advanced could sit table talk grandkids worth every penny,"['little', 'hesitant', 'spend', 'money', 'get', 'glad', 'always', 'answers', 'say', 'commands', 'noticed', 'probably', '95', 'right', 'command', 'given', 'love', 'fact', 'see', 'things', 'screen', 'news', 'briefings', 'picture/video', 'nice', 'also', 'love', 'video', 'call', 'option', 'planning', 'getting', 'one', 'grandma', 'technologically', 'advanced', 'could', 'sit', 'table', 'talk', 'grandkids', 'worth', 'every', 'penny']",True,5,1
110,great product much recommended service best buy always best,"['great', 'product', 'much', 'recommended', 'service', 'best', 'buy', 'always', 'best']",True,5,1
111,bought 2 gifts love think new one incredible holidays buy one,"['bought', '2', 'gifts', 'love', 'think', 'new', 'one', 'incredible', 'holidays', 'buy', 'one']",True,5,1
112,watch videos check security cameras grey two fantastic price,"['watch', 'videos', 'check', 'security', 'cameras', 'grey', 'two', 'fantastic', 'price']",True,5,1
113,dreams need topics song lyrics scroll song play watch movies/trailers etc get sale bought special deal best buy 129.99 sure value regular price 249.99 cool device,"['dreams', 'need', 'topics', 'song', 'lyrics', 'scroll', 'song', 'play', 'watch', 'movies/trailers', 'etc', 'get', 'sale', 'bought', 'special', 'deal', 'best', 'buy', '129.99', 'sure', 'value', 'regular', 'price', '249.99', 'cool', 'device']",True,4,1
114,information weather updates music events fun questions answered working kitchen good sound limited areagreat sales assistance best buy,"['information', 'weather', 'updates', 'music', 'events', 'fun', 'questions', 'answered', 'working', 'kitchen', 'good', 'sound', 'limited', 'areagreat', 'sales', 'assistance', 'best', 'buy']",True,5,1
115,bought christmas present son family communicate visually,"['bought', 'christmas', 'present', 'son', 'family', 'communicate', 'visually']",True,5,1
116,excellent easy set use automate entire house air-conditioning thermostat every light house phillips hue bulbs went got one everyone family,"['excellent', 'easy', 'set', 'use', 'automate', 'entire', 'house', 'air-conditioning', 'thermostat', 'every', 'light', 'house', 'phillips', 'hue', 'bulbs', 'went', 'got', 'one', 'everyone', 'family']",True,4,1
117,show prefer show video screen use show display recipes cooking lyrics music i⊙m listening video conferencing family like seeing headlines stories scroll across screen along t8me temperature,"['show', 'prefer', 'show', 'video', 'screen', 'use', 'show', 'display', 'recipes', 'cooking', 'lyrics', 'music', 'i⊙m', 'listening', 'video', 'conferencing', 'family', 'like', 'seeing', 'headlines', 'stories', 'scroll', 'across', 'screen', 'along', 't8me', 'temperature']",True,5,1
118,using show couple days works great microphone picks voice easily sound quality great looks nice sitting coffee table,"['using', 'show', 'couple', 'days', 'works', 'great', 'microphone', 'picks', 'voice', 'easily', 'sound', 'quality', 'great', 'looks', 'nice', 'sitting', 'coffee', 'table']",True,5,1
119,show lets see much great item home,"['show', 'lets', 'see', 'much', 'great', 'item', 'home']",True,5,1
120,easy use features allow users converse easily others may hard time learning communicate using newer videophone technology product removes barriers,"['easy', 'use', 'features', 'allow', 'users', 'converse', 'easily', 'others', 'may', 'hard', 'time', 'learning', 'communicate', 'using', 'newer', 'videophone', 'technology', 'product', 'removes', 'barriers']",True,5,1
